User,Sight,Session,Start,End,Dur,Time,ErrA,ErrB,Error
6,0,4,04:54:16,04:54:55,00:00:39,39,575.4028897,428.0690333,501.7359615
6,0,4,04:55:20,04:56:01,00:00:41,41,251.8098452,275.0452032,263.4275242
6,0,4,04:56:43,04:57:22,00:00:39,39,912.5575635,673.4458016,793.0016825
6,0,5,05:02:51,05:03:01,00:00:10,10,330.3892505,408.5543407,369.4717956
6,0,5,05:03:22,05:03:35,00:00:13,13,673.9413334,685.7089183,679.8251258
6,0,5,05:03:52,05:04:01,00:00:09,9,214.7877489,186.663967,200.7258579
6,0,5,05:04:16,05:04:25,00:00:09,9,274.6746021,261.5532494,268.1139258
6,0,5,05:04:35,05:04:47,00:00:12,12,517.0335056,423.7419207,470.3877132
6,0,5,05:05:01,05:06:01,00:01:00,0,123.5509392,85.937257,104.7440981
6,0,2,05:06:53,05:07:03,00:00:10,10,44.45386276,39.88667902,42.17027089
6,0,2,05:07:12,05:07:18,00:00:06,6,41.73758193,60.0205841,50.87908301
6,0,2,05:07:51,05:07:58,00:00:07,7,124.9828917,68.48160043,96.73224607
6,0,2,05:08:31,05:08:38,00:00:07,7,75.88697591,55.22522076,65.55609833
6,0,2,05:08:52,05:09:01,00:00:09,9,81.43518657,62.51616777,71.97567717
6,0,2,05:09:24,05:09:29,00:00:05,5,64.18231312,78.2538237,71.21806841
6,0,2,05:09:42,05:09:47,00:00:05,5,122.9930658,97.71167771,110.3523718
6,0,2,05:09:57,05:10:03,00:00:06,6,52.36454184,53.92801215,53.14627699
6,0,2,05:10:18,05:10:22,00:00:04,4,82.55599741,65.40728992,73.98164367
6,0,2,05:10:33,05:10:38,00:00:05,5,116.8855213,94.87873669,105.882129
6,0,3,05:16:30,05:16:36,00:00:06,6,237.1002814,221.0649314,229.0826064
6,0,3,05:16:46,05:16:51,00:00:05,5,56.06119739,58.73946582,57.40033161
6,0,3,05:17:08,05:17:13,00:00:05,5,40.80648186,54.49489995,47.6506909
6,0,3,05:17:35,05:17:41,00:00:06,6,178.8305091,171.9649335,175.3977213
6,0,3,05:17:53,05:17:59,00:00:06,6,52.63509901,56.73259097,54.68384499
6,0,3,05:18:10,05:18:16,00:00:06,6,234.2349456,200.7591255,217.4970355
7,1,1,09:24:49,09:24:58,00:00:09,9,76.6665391,88.38671506,82.52662708
7,1,1,09:25:06,09:25:14,00:00:08,8,108.682256,110.0403381,109.3612971
7,1,1,09:25:23,09:25:30,00:00:07,7,132.4513422,124.5613812,128.5063617
7,1,1,09:25:37,09:25:43,00:00:06,6,74.70964602,74.31206627,74.51085614
7,1,1,09:25:50,09:25:57,00:00:07,7,54.53064052,57.6551059,56.09287321
7,1,1,09:26:03,09:26:08,00:00:05,5,80.66775645,75.50183704,78.08479674
7,1,2,09:29:10,09:29:20,00:00:10,10,28.64802758,31.14674264,29.89738511
7,1,2,09:29:31,09:29:37,00:00:06,6,90.08796083,82.91110219,86.49953151
7,1,2,09:29:47,09:29:54,00:00:07,7,99.67525641,107.4590419,103.5671491
7,1,2,09:30:03,09:30:09,00:00:06,6,74.6433089,73.16576189,73.90453539
7,1,2,09:30:18,09:30:24,00:00:06,6,38.80628859,45.46203568,42.13416213
7,1,2,09:30:34,09:30:40,00:00:06,6,32.04763911,33.3226175,32.6851283
7,1,2,09:30:52,09:30:59,00:00:07,7,98.13925434,101.3159013,99.72757784
7,1,2,09:31:08,09:31:14,00:00:06,6,39.49488462,43.11734018,41.3061124
7,1,2,09:31:24,09:31:31,00:00:07,7,62.73167926,54.90226354,58.8169714
7,1,2,09:31:42,09:31:48,00:00:06,6,35.8719412,30.892078,33.3820096
7,1,3,09:35:01,09:35:07,00:00:06,6,28.70568184,27.75021813,28.22794998
7,1,3,09:35:17,09:35:25,00:00:08,8,320.4878129,377.6307412,349.059277
7,1,3,09:35:37,09:35:45,00:00:08,8,132.1244995,174.3972084,153.260854
7,1,3,09:36:30,09:36:36,00:00:06,6,53.77370883,50.69848912,52.23609898
7,1,3,09:36:46,09:36:54,00:00:08,8,113.4968192,149.6923476,131.5945834
7,1,3,09:37:02,09:37:09,00:00:07,7,105.3814169,129.1090524,117.2452347
7,1,4,09:39:36,09:39:49,00:00:13,13,50.46202578,51.17970241,50.8208641
7,1,4,09:40:02,09:40:15,00:00:13,13,41.69148014,49.41740824,45.55444419
7,1,4,09:40:27,09:40:57,00:00:30,30,146.1195111,146.1421354,146.1308232
7,1,4,09:41:31,09:42:34,00:01:03,3,308.3783277,292.7369792,300.5576534
7,1,4,09:42:53,09:43:20,00:00:27,27,123.2212897,115.6651824,119.4432361
7,1,4,09:43:35,09:44:08,00:00:33,33,187.6033819,174.8870921,181.245237
7,1,4,09:44:22,09:44:44,00:00:22,22,69.39955588,60.78508514,65.09232051
7,1,4,09:44:57,09:45:14,00:00:17,17,124.2968412,104.6565841,114.4767126
7,1,4,09:45:28,09:45:45,00:00:17,17,77.27045691,72.05482823,74.66264257
7,1,4,09:46:01,09:46:22,00:00:21,21,131.1775163,117.4372699,124.3073931
7,1,5,09:50:06,09:50:13,00:00:07,7,60.50555751,64.44190059,62.47372905
7,1,5,09:50:21,09:50:29,00:00:08,8,50.47230781,45.23190008,47.85210395
7,1,5,09:51:00,09:51:08,00:00:08,8,110.6097245,109.0502358,109.8299802
7,1,5,09:52:27,09:52:36,00:00:09,9,85.83414842,85.51094203,85.67254522
7,1,5,09:52:45,09:52:58,00:00:13,13,63.34705127,56.4114553,59.87925329
7,1,5,09:53:08,09:53:16,00:00:08,8,71.24229107,79.58989415,75.41609261
8,1,1,10:27:17,10:27:26,00:00:09,9,120.6287383,127.0206955,123.8247169
8,1,1,10:27:38,10:27:47,00:00:09,9,76.48793604,79.72542955,78.1066828
8,1,1,10:27:57,10:28:06,00:00:09,9,58.70263603,61.96513967,60.33388785
8,1,1,10:28:15,10:28:25,00:00:10,10,103.1872435,107.5121676,105.3497056
8,1,1,10:28:34,10:28:41,00:00:07,7,151.1468961,162.3975854,156.7722407
8,1,1,10:28:51,10:29:00,00:00:09,9,136.5174634,142.1408077,139.3291355
8,1,4,10:40:46,10:41:08,00:00:22,22,92.4162925,183.6719876,138.04414
8,1,4,10:41:41,10:42:02,00:00:21,21,188.9238276,182.9907293,185.9572784
8,1,4,10:42:47,10:42:57,00:00:10,10,160.4982799,148.9420871,154.7201835
8,1,4,10:43:08,10:43:17,00:00:09,9,121.2692307,123.5496266,122.4094287
8,1,4,10:43:27,10:43:33,00:00:06,6,37.97216184,40.93987289,39.45601736
8,1,4,10:43:42,10:43:53,00:00:11,11,130.3828133,116.0938332,123.2383232
8,1,4,10:44:07,10:44:15,00:00:08,8,41.4150756,36.65461163,39.03484362
8,1,4,10:44:24,10:44:34,00:00:10,10,180.3028285,170.6254971,175.4641628
8,1,4,10:44:44,10:44:51,00:00:07,7,162.4780369,151.8093919,157.1437144
8,1,4,10:45:00,10:45:08,00:00:08,8,168.9001824,161.6208345,165.2605084
8,1,5,10:48:29,10:48:36,00:00:07,7,109.1440387,119.7224044,114.4332215
8,1,5,10:48:48,10:48:55,00:00:07,7,127.7518839,136.7349472,132.2434156
8,1,5,10:49:04,10:49:11,00:00:07,7,51.86603972,54.47588242,53.17096107
8,1,5,10:49:22,10:49:28,00:00:06,6,39.54204028,40.47527515,40.00865771
8,1,5,10:49:39,10:49:48,00:00:09,9,59.53903947,57.62524234,58.58214091
8,1,5,10:49:58,10:50:05,00:00:07,7,33.2850261,26.99540402,30.14021506
8,1,2,10:50:56,10:51:03,00:00:07,7,46.17358206,46.36375344,46.26866775
8,1,2,10:51:17,10:51:23,00:00:06,6,37.2376306,40.84824478,39.04293769
8,1,2,10:51:36,10:51:42,00:00:06,6,49.91556159,48.63754142,49.2765515
8,1,2,10:51:54,10:52:01,00:00:07,7,39.81280234,37.05835486,38.4355786
8,1,2,10:52:14,10:52:20,00:00:06,6,93.9997693,103.4084972,98.70413325
8,1,2,10:52:31,10:52:37,00:00:06,6,42.19561818,43.24313225,42.71937521
8,1,2,10:52:52,10:52:59,00:00:07,7,45.35505871,49.02910271,47.19208071
8,1,2,10:53:12,10:53:17,00:00:05,5,40.39053217,40.9980857,40.69430894
8,1,2,10:53:32,10:53:39,00:00:07,7,57.42877241,54.42314432,55.92595837
8,1,2,10:53:53,10:53:59,00:00:06,6,82.12092598,86.54720963,84.3340678
8,1,3,10:56:50,10:56:57,00:00:07,7,91.60460812,98.19576485,94.90018649
8,1,3,10:57:08,10:57:14,00:00:06,6,37.56975167,38.07885898,37.82430533
8,1,3,10:57:50,10:57:56,00:00:06,6,79.485646,84.76429947,82.12497273
8,1,3,10:58:08,10:58:14,00:00:06,6,55.67823606,56.92380141,56.30101873
8,1,3,10:58:44,10:58:50,00:00:06,6,55.76852565,53.15192343,54.46022454
8,1,3,10:59:02,10:59:08,00:00:06,6,34.13903043,34.18686785,34.16294914
9,0,1,10:35:19,10:35:28,00:00:09,9,392.0238991,415.5321609,403.77803
